,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe
0,56,,,0,0,,,,0,,1,0,7,,,,,168,425,3,0,36,,107,76,,,,,,0,195,16,0,,,237,0,,,0,0,5,0,,,78,0,29,7,2,34,2408,,0,0,,11,0,,,0,61,,0,0,,0,143,0,0,,,0,27,245,,0,,,73,285,,,,0,,0,14,,0,,227,0,0,,,,,,1,,,,212,0,350,0,0,4,8,0,0,0,0,4776,0,,0,0,3,53,,
1,12,,,0,0,,,,0,,1,0,11,,,,,138,235,0,0,62,,51,0,,,,,,0,286,12,0,,,257,1,,,0,0,5,0,,,34,2,74,9,40,35,1158,,0,0,,15,0,,,0,30,,0,0,,0,158,0,3,,,0,37,145,,0,,,79,522,,,,0,,0,29,,0,,26,0,0,,,,,,0,,,,343,0,185,0,1,6,0,0,0,0,0,4301,0,,0,0,0,59,,
2,47,,,5,0,,,,0,,0,0,8,,,,,142,822,7,0,44,,11,6,,,,,,0,326,27,0,,,98,0,,,0,0,2,0,,,33,0,47,8,0,13,1534,,0,0,,7,0,,,0,54,,0,0,,0,213,0,0,,,0,52,355,,0,,,133,202,,,,0,,0,17,,0,,99,0,0,,,,,,0,,,,422,0,155,0,2,8,0,0,0,1,0,5164,0,,0,0,1,63,,
3,14,,,0,0,,,,0,,0,0,7,,,,,151,630,4,0,29,,58,0,,,,,,0,522,12,0,,,306,1,,,0,0,4,0,,,29,0,51,8,2,30,1525,,0,0,,10,0,,,0,43,,0,2,,0,96,0,0,,,0,8,262,,0,,,142,137,,,,0,,0,16,,0,,93,0,0,,,,,,0,,,,778,0,168,0,0,3,12,0,0,10,0,4423,0,,0,0,0,40,,
4,10,,,0,0,,,,0,,17,0,12,,,,,136,283,4,0,33,,45,4,,,,,,0,263,18,0,,,229,0,,,0,0,7,0,,,4,0,61,5,2,43,1769,,0,0,,13,0,,,0,51,,1,0,,0,210,0,0,,,0,4,230,,0,,,153,163,,,,27,,0,7,,0,,41,0,0,,,,,,0,,,,507,0,120,0,0,2,13,0,0,9,0,5549,0,,0,0,0,38,,
5,17,,,0,0,,,,0,,337,0,2,,,,,112,702,9,0,30,,39,6,,,,,,0,189,28,0,,,224,0,,,3,0,3,0,,,17,0,22,3,1,39,1513,,0,0,,3,0,,,0,44,,0,0,,0,128,0,0,,,0,4,264,,0,,,56,408,,,,0,,0,16,,0,,568,0,0,,,,,,0,,,,485,0,146,0,0,2,3,0,0,9,0,5197,0,,0,0,1,31,,
6,46,,,0,0,,,,0,,4,0,6,,,,,107,36,3,0,29,,33,3,,,,,,0,193,13,0,,,205,0,,,0,0,0,0,,,0,0,43,2,6,31,1044,,0,0,,13,0,,,0,1248,,0,0,,0,164,0,0,,,0,21,176,,0,,,103,235,,,,36,,0,13,,0,,746,0,0,,,,,,1,,,,619,0,186,0,1,0,0,0,0,3,0,5314,0,,0,0,0,25,,
7,12,,,0,0,,,,0,,3,0,2,,,,,109,126,6,0,30,,22,43,,,,,,0,185,41,0,,,416,0,,,0,0,0,0,,,157,0,79,2,25,74,2028,,0,0,,17,0,,,0,1202,,0,0,,0,182,0,0,,,0,51,281,,0,,,10,325,,,,0,,0,18,,0,,1989,0,0,,,,,,0,,,,1332,0,202,0,0,1,27,0,0,6,0,4461,0,,0,0,0,6,,
8,21,,,0,0,,,,0,,2,0,1,,,,,102,159,4,0,22,,14,17,,,,,,0,110,58,0,,,262,0,,,0,0,0,0,,,134,0,37,7,30,29,1467,,0,0,,4,0,,,0,1106,,0,0,,0,125,0,0,,,0,84,152,,0,,,4,248,,,,0,,0,8,,0,,2477,0,0,,,,,,0,,,,734,0,638,0,1,2,3,0,0,0,0,4165,0,,0,0,0,15,,
9,93,,,0,0,,,,0,,0,0,15,,,,,129,31,2,0,35,,27,24,,,,,,0,275,77,0,,,174,0,,,0,0,0,0,,,336,1,33,14,4,25,1371,,0,0,,1,0,,,0,53,,0,0,,0,129,0,0,,,0,125,172,,0,,,272,171,,,,0,,0,12,,0,,1489,0,0,,,,,,0,,,,861,0,954,0,0,2,0,0,0,0,1,5866,0,,0,0,1,66,,
